"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 14 23:03:50 MSK 2023","Mon Aug 14 23:03:50 MSK 2023","26","","Testing home page: Clicking navingation links","","","","Then I should be redirected on the subdomain catalog",""
"passed","Mon Aug 14 23:04:00 MSK 2023","Mon Aug 14 23:04:00 MSK 2023","2","","Testing home page: Clicking navingation links","","","","",""
"passed","Mon Aug 14 23:03:48 MSK 2023","Mon Aug 14 23:03:48 MSK 2023","10","","Testing Reset Password: Entering nothing","","","","",""
"passed","Mon Aug 14 23:03:50 MSK 2023","Mon Aug 14 23:03:53 MSK 2023","2772","","Testing home page: Clicking navingation links","","","","Given I am on the home page",""
"passed","Mon Aug 14 23:03:46 MSK 2023","Mon Aug 14 23:03:47 MSK 2023","1015","","Testing Reset Password: Entering nothing","","","","Given I am on the reset password page",""
"passed","Mon Aug 14 23:03:53 MSK 2023","Mon Aug 14 23:04:00 MSK 2023","6925","","Testing home page: Clicking navingation links","","","","When I click on Автобарахолка",""
"passed","Mon Aug 14 23:03:55 MSK 2023","Mon Aug 14 23:03:55 MSK 2023","5","","Testing Product Page: Adding product to cart","","","","",""
"passed","Mon Aug 14 23:03:42 MSK 2023","Mon Aug 14 23:03:45 MSK 2023","2824","","Testing Reset Password: Entering a number that is not registered","","","","Given I am on the reset password page",""
"passed","Mon Aug 14 23:03:47 MSK 2023","Mon Aug 14 23:03:47 MSK 2023","445","","Testing Reset Password: Entering nothing","","","","When I enter an empty string",""
"passed","Mon Aug 14 23:03:51 MSK 2023","Mon Aug 14 23:03:54 MSK 2023","3468","","Testing Product Page: Adding product to cart","","","","When I add the product to the cart",""
"passed","Mon Aug 14 23:03:45 MSK 2023","Mon Aug 14 23:03:46 MSK 2023","765","","Testing Reset Password: Entering a number that is not registered","","","","Then I see the form error message ""Такой пользователь не зарегистрирован""",""
"passed","Mon Aug 14 23:03:47 MSK 2023","Mon Aug 14 23:03:48 MSK 2023","107","","Testing Reset Password: Entering nothing","","","","Then I see the form error message ""Укажите ник, e-mail или номер телефона""",""
"passed","Mon Aug 14 23:03:46 MSK 2023","Mon Aug 14 23:03:46 MSK 2023","3","","Testing Reset Password: Entering a number that is not registered","","","","",""
"passed","Mon Aug 14 23:03:54 MSK 2023","Mon Aug 14 23:03:55 MSK 2023","354","","Testing Product Page: Adding product to cart","","","","Then I see the following text on the sidebar ""Товар добавлен в корзину""",""
"passed","Mon Aug 14 23:03:42 MSK 2023","Mon Aug 14 23:03:51 MSK 2023","9056","","Testing Product Page: Adding product to cart","","","","Given I am on the product page",""
"passed","Mon Aug 14 23:03:45 MSK 2023","Mon Aug 14 23:03:45 MSK 2023","627","","Testing Reset Password: Entering a number that is not registered","","","","When I enter the phone number +375292222222",""
"passed","Mon Aug 14 23:04:00 MSK 2023","Mon Aug 14 23:04:00 MSK 2023","254","","Testing home page: Clicking navingation links","","","","Then I should be redirected on the subdomain ab",""
"passed","Mon Aug 14 23:03:46 MSK 2023","Mon Aug 14 23:03:50 MSK 2023","3704","","Testing home page: Clicking navingation links","","","","When I click on Каталог",""
